Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nf,C_0603_1608Metric,148.075,-114.2,0,top
C2,1uf,C_0603_1608Metric,144.525,-114.2,180,top
C3,100nf,C_0603_1608Metric,155.425,-101.1,0,top
C4,10pf,C_0402_1005Metric,154.37,-95.62,-90,top
C5,10pf,C_0402_1005Metric,151.25,-95.62,-90,top
C6,100nf,C_0603_1608Metric,164.925,-96.9,180,top
C7,100nf,C_0603_1608Metric,164.925,-98.5,180,top
C8,100nf,C_0603_1608Metric,141.275,-110.7,0,top
C9,100nf,C_0603_1608Metric,141.275,-114.2,0,top
C10,100nf,C_0603_1608Metric,141.275,-112.45,0,top
C11,100nf,C_0603_1608Metric,141.05,-103.45,180,top
C12,100nf,C_0603_1608Metric,149.05,-96.7,180,top
C13,100nf,C_0603_1608Metric,149.05,-98.45,180,top
C14,100nf,C_0603_1608Metric,164.7,-133.4,180,top
C15,100nf,C_0603_1608Metric,164.7,-131.77,180,top
C16,100nf,C_0603_1608Metric,164.7,-130.17,180,top
C17,100nf,C_0603_1608Metric,164.925,-100.1,180,top
C18,100nf,C_0603_1608Metric,164.85,-118.9,-90,top
C19,10 uF,C_0805_2012Metric,158.75,-120.95,0,top
C20,1uF / 25V,C_0603_1608Metric,149.175,-118.8,0,top
C21,1uF / 25V,C_0603_1608Metric,142.975,-124.2,180,top
C22,1uF / 25V,C_0603_1608Metric,143.025,-118.8,180,top
C23,1uF / 25V,C_0603_1608Metric,143,-122.6,180,top
C24,1uF / 25V,C_0603_1608Metric,147.3,-125.9,180,top
C25,1uF / 25V,C_0603_1608Metric,146.075,-118.8,0,top
C26,1uF / 25V,C_0603_1608Metric,143,-125.8,0,top
C27,4.7uF / 25V,C_0603_1608Metric,143,-121,0,top
C28,1uF / 6.3V,C_0402_1005Metric,139.45,-131.23,90,top
C29,0.1uF / 16V,C_0402_1005Metric,150.53,-116.45,0,top
C30,10 uF,C_0805_2012Metric,162.25,-120.95,0,top
D1,SD103AW,D_SOD-123,155.05,-117.2,-90,top
D2,SD103AW,D_SOD-123,147.45,-121.4,0,top
D3,SD103AW,D_SOD-123,147.45,-123.9,180,top
D4,Blue,LED_0402_1005Metric,158.815,-115.45,180,top
D5,D_Schottky,D_SMA,164.55,-125.45,-90,top
IC1,MCP73831T-2ACI_MC,SON50P300X200X100-9N-D,161.55,-118.45,180,top
J1,10118192-0002LF,101181920002LF,135.825,-108.5,-90,top
J2,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical_SMD,161.4,-104.84,180,top
J3,~,KH-FG0.5-H2.0-24PIN,149.95,-129.7,0,top
J4,~,BM02B-SRSS-TB,153.7,-114.1,0,top
L1,10uH,L_Ferrocore_DLG-0302,153.6,-121.5,0,top
Q1,NMOS,SOT-323_SC-70,161.3,-129.45,90,top
Q2,~,SOT-23,157.55,-124.2625,90,top
R1,1K,R_0603_1608Metric,152.275,-118.8,0,top
R2,10K,R_0603_1608Metric,155.9,-103.675,-90,top
R3,2k,R_0402_1005Metric,158.9,-118.11,90,top
R4,0.47R,R_0805_2012Metric,153.2,-124.3,0,top
R5,1K,R_0603_1608Metric,136.55,-115.2,180,top
R6,1K,R_0603_1608Metric,136.55,-116.7,180,top
R7,1K,R_0603_1608Metric,149.05,-94.95,0,top
R8,1k,R_0402_1005Metric,158.8,-116.6,0,top
R9,1.5k,R_0402_1005Metric,140.39,-107.25,-90,top
SW1,PWR Switch,HX MSK12CO2-BBTM,161,-112.85,-90,top
SW3,SW_Push,PTS526,136.35,-121.7,90,top
SW4,SW_Push,PTS526,136.3,-129.9,90,top
SW5,SW_Push,PTS526,142.05,-97.7,90,top
SW7,SW_Push,PTS526,159.8,-97.5,90,top
U1,AP2120N-3.3TRG1,SOT-23_DIO,161.05,-124.2,90,top
U4,STM32F103C8T6,LQFP-48,149.75,-105.34,90,top
Y1,32k,Crystal_SMD_3215-2Pin_3.2x1.5mm,152.8,-97.7,0,top
